timestamp,risk_status,risk_probability,anomaly_status,reconstruction_error,flagged_sensors
2025-04-24 05:20:17,No Risk,0.4863,Anomaly Detected,0.03743,"Torque, Fuel_Efficiency"
2025-04-24 05:20:22,No Risk,0.4429,Normal,0.00936,
2025-04-24 05:20:27,No Risk,0.4713,Normal,0.01689,
2025-04-24 05:20:32,No Risk,0.4945,Normal,0.00862,
2025-04-24 05:20:37,No Risk,0.4715,Normal,0.00792,
2025-04-24 05:20:42,No Risk,0.4999,Normal,0.00337,
2025-04-24 05:20:47,Risk of Failure,0.6678,Anomaly Detected,0.03786,"Vibration_Z, Power_Output (kW)"
2025-04-24 05:20:52,Risk of Failure,0.6552,Normal,0.00771,
2025-04-24 05:20:57,No Risk,0.4588,Normal,0.00807,
2025-04-24 05:21:03,Risk of Failure,0.5504,Anomaly Detected,0.02123,"RPM, Operational_Mode"
2025-04-24 05:21:08,No Risk,0.4617,Normal,0.01682,
2025-04-24 05:21:13,Risk of Failure,0.8186,Anomaly Detected,0.02591,"Torque, Temperature (°C)"
2025-04-24 05:21:18,No Risk,0.4977,Normal,0.01312,
2025-04-24 05:21:23,Risk of Failure,0.5693,Anomaly Detected,0.02452,"Fuel_Efficiency, Power_Output (kW)"
2025-04-24 05:21:28,Risk of Failure,0.6073,Anomaly Detected,0.03825,"RPM, Vibration_Z"
2025-04-24 05:21:33,Risk of Failure,0.8305,Anomaly Detected,0.04283,"Torque, RPM"
2025-04-24 05:21:38,No Risk,0.4691,Normal,0.00755,
2025-04-24 05:21:43,No Risk,0.4683,Anomaly Detected,0.02348,"Fuel_Efficiency, Power_Output (kW)"
2025-04-24 05:21:49,Risk of Failure,0.5081,Normal,0.01246,
2025-04-24 05:21:54,Risk of Failure,0.5064,Normal,0.00917,
2025-04-24 05:21:59,Risk of Failure,0.6322,Normal,0.00673,
2025-04-24 05:22:04,Risk of Failure,0.5917,Normal,0.00727,
2025-04-24 05:22:09,No Risk,0.4513,Normal,0.00409,
2025-04-24 05:22:14,No Risk,0.4707,Normal,0.00111,
2025-04-24 05:22:19,Risk of Failure,0.763,Normal,0.01016,
